ID,Family name,Title,Personal name,Age,Department/Class,Passenger/Crew,Citizenship,Position,Status,City,Adult/Minor,Sex
112,COLLINS,Mr.,James Lord,,Engineering,Crew,British,Trimmer,,,Adult,Male
113,COLWELL,Mr.,William J.,,Engineering,Crew,British,Trimmer,,,Adult,Male
114,CONLON,Mr.,Bernard,,Engineering,Crew,British,Trimmer,,,Adult,Male
115,CONNELLY,Mr.,Owen,51,Engineering,Crew,British,Trimmer,Married,New York,Adult,Male
116,COONEY,Mr.,"Michael, Jr.",20,Engineering,Crew,British,Fireman,,,Adult,Male
117,COONEY,Mr.,"Michael, Sr.",40,Engineering,Crew,British,Fireman,,,Adult,Male
118,CORBOY,Mr.,Michael,49,Engineering,Crew,British,Fireman,,,Adult,Male
119,COSTELLO,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
120,COYNE (Coyle),Mr.,Patrick,24,Engineering,Crew,British,Trimmer,,Ballyheane,Adult,Male
121,CROSS,Mr.,Andrew,,Engineering,Crew,British,Fireman,,,Adult,Male
122,CRUMBY,Mr.,Stephen,,Engineering,Crew,British,Fireman,,,Adult,Male
123,CULSHAW,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
124,CURRAN,Mr.,Patrick,44,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
125,CUSHION,Mr.,Michael,,Engineering,Crew,British,Trimmer,,,Adult,Male
126,DALEY,Mr.,Daniel,42,Engineering,Crew,British,Fireman,,Ranelagh,Adult,Male
127,DALYRMPLE,Mr.,James,,Engineering,Crew,British,Refrigeration Greaser,,,Adult,Male
128,DAVIES,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
129,DAVIES,Mr.,Mr. J.,,Engineering,Crew,British,Trimmer,,,Adult,Male
130,DAVIS,Mr.,Frederick,,Engineering,Crew,British,Trimmer,,,Adult,Male
131,DELVIN,Mr.,Henry,,Engineering,Crew,British,Fireman,,,Adult,Male
132,DONNELLY,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
133,DONNELLY,Mr.,Peter,,Engineering,Crew,British,Fireman,,,Adult,Male
134,DONOGHUE,Mr.,Peter,,Engineering,Crew,British,Greaser,,,Adult,Male
135,DONOVAN,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
136,DOUGHERTY (Pitchford),Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
137,DOWNEY,Mr.,Edward,,Engineering,Crew,British,Trimmer,,,Adult,Male
138,DOYLE,Mr.,Peter,32,Engineering,Crew,British,Leading Fireman,,Liverpool,Adult,Male
139,DOYLE,Mr.,John,35,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
140,DOYLE,Mr.,Joseph,,Engineering,Crew,British,Trimmer,,,Adult,Male
141,DUCKWORTH,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
142,DUGGAN,Mr.,John,31,Engineering,Crew,British,Trimmer,,Kirkdale,Adult,Male
143,DUNCAN,Mr.,Peter Robinson,31,Engineering,Crew,British,Senior 4th Engineer,,,Adult,Male
144,DUNCAN,Mr.,Robert Henry,34,Engineering,Crew,British,First Senior 3rd Engineer,,,Adult,Male
145,DUNCAN,Mr.,Alexander,,Engineering,Crew,British,Junior 2nd Engineer,,,Adult,Male
146,DUNN,Mr.,Albert Charles,30,Engineering,Crew,British,Intermediate 6th Engineer,,,Adult,Male
147,DUNN,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
148,DWYER,Mr.,James,20,Engineering,Crew,British,Trimmer,,,Adult,Male
149,DWYER,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
150,DYER,Mr.,John ,,Engineering,Crew,British,Trimmer,,,Adult,Male
151,EDWARDS,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
152,ELLIOTT,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
153,ENGLISH,Mr.,Michael,,Engineering,Crew,British,Fireman,,,Adult,Male
154,ENNIS,Mr.,John,,Engineering,Crew,British,Greaser,,,Adult,Male
155,EVANS,Mr.,David,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
156,EVANS,Mr.,Robert,,Engineering,Crew,British,Trimmer,,,Adult,Male
157,FAIRELOUGH,Mr.,Robert,,Engineering,Crew,British,Donkeyman,,,Adult,Male
158,FAIRHURST,Mr.,Wilfred George,,Engineering,Crew,British,First Intermediate 3rd Engineer,,,Adult,Male
159,FARRELL,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
160,FARRELL,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
161,FEARON,Mr.,Peter,30,Engineering,Crew,British,Greaser,,,Adult,Male
162,FENTON,Mr.,Colin Stanley Moorhouse,,Engineering,Crew,British,Deck Engineer,,,Adult,Male
163,FERNANDEZ,Mr.,Eduardo,,Engineering,Crew,British,Fireman,,,Adult,Male
164,FIELDS,Mr.,William,,Engineering,Crew,British,Trimmer,,,Adult,Male
165,FINNEGAN,Mr.,Edward,22,Engineering,Crew,British,Trimmer,,,Adult,Male
166,FitzGERALD,Mr.,John,,Engineering,Crew,British,Electric Attendant,,Liverpool,Adult,Male
167,FORD,Mr.,John,45,Engineering,Crew,British,Fireman,,,Adult,Male
168,FORREST,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
169,FRENCH,Mr.,Edward Stanley,,Engineering,Crew,British,Fireman,,,Adult,Male
170,GALLAGHER,Mr.,George,,Engineering,Crew,British,Fireman,,,Adult,Male
171,GARDNER,Mr.,Alfred,,Engineering,Crew,British,Trimmer,,,Adult,Male
172,GAUL,Mr.,Richard,,Engineering,Crew,British,Greaser,,Drinagh,Adult,Male
173,GAVAN,Mr.,Peter,30,Engineering,Crew,British,Trimmer,,,Adult,Male
174,GOODMAN,Mr.,B.,,Engineering,Crew,British,Trimmer,,,Adult,Male
175,GOULD,Mr.,Richard,34,Engineering,Crew,British,Senior Boilermaker,,,Adult,Male
176,GRANT,Mr.,Michael,36,Engineering,Crew,British,Fireman,,,Adult,Male
177,GREGORY,Mr.,John Henry,,Engineering,Crew,British,Trimmer,,,Adult,Male
178,GRIFFITHS,Mr., William Henry,,Engineering,Crew,British,Refrigeration Greaser,,,Adult,Male
179,GRIFFITHS,Mr.,Samuel Herman,,Engineering,Crew,British,Trimmer,,,Adult,Male
180,GRUNDY,Mr.,Mr. George,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
181,GUNTHER,Mr.,Charles,,Engineering,Crew,British,Fireman,,,Adult,Male
182,HAMEL,Mr.,George James,,Engineering,Crew,British,Trimmer,,,Adult,Male
183,HANLON,Mr.,Patrick,,Engineering,Crew,British,Trimmer,,,Adult,Male
184,HARRIS,Mr.,Edward James,,Engineering,Crew,British,Trimmer,,,Adult,Male
185,HAYES,Mr.,John Henry Lamie,30,Engineering,Crew,British,Junior 5th Engineer,,,Adult,Male
186,HESTON,Mr.,Patrick,,Engineering,Crew,British,Fireman,,,Adult,Male
187,HETHERINGTON,Mr.,Walter Lewis,,Engineering,Crew,British,Third Senior 3rd Engineer,,,Adult,Male
188,HILLHOUSE,Mr.,Hugh,,Engineering,Crew,British,Trimmer,,,Adult,Male
189,HODDER,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
190,HOEY,Mr.,James,25,Engineering,Crew,British,Trimmer,,Dundalk,Adult,Male
191,HOPKINS,Mr.,Patrick,25,Engineering,Crew,British,Fireman,,Castlebar,Adult,Male
192,HORDEN,Mr.,Joseph Thomas,,Engineering,Crew,British,Greaser,,,Adult,Male
193,HORNCASTLE,Mr.,William Alfred,,Engineering,Crew,British,Trimmer,,,Adult,Male
194,HORRIGAN,Mr.,Michael,,Engineering,Crew,British,Greaser,,,Adult,Male
195,HUGHES,Mr.,Owen,,Engineering,Crew,British,Greaser,,,Adult,Male
196,HUGHES,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
197,HUME,Mr.,Archie,,Engineering,Crew,British,Trimmer,,,Adult,Male
198,HUSSEY,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
199,HUTCHINSON,Mr.,George,,Engineering,Crew,British,Chief Electrician,,,Adult,Male
200,HUTCHINSON,Mr.,George,,Engineering,Crew,British,Fireman,,,Adult,Male
201,JENKINS,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
202,JONES,Mr.,Richard Ellis,31,Engineering,Crew,British,Junior 4th Engineer,,,Adult,Male
203,JONES,Mr.,William Ewart Gladstone,29,Engineering,Crew,British,Third Electrician,,,Adult,Male
204,JONES,Mr.,Hugh,,Engineering,Crew,British,Greaser,,,Adult,Male
205,JONES,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
206,JONES,Mr.,Michael,,Engineering,Crew,British,Trimmer,,,Adult,Male
207,KEARNEY,Mr.,Patrick,25,Engineering,Crew,British,Trimmer,,Crumlin,Adult,Male
208,KEARNEY,Mr.,Thomas,25,Engineering,Crew,British,Fireman,,Castlebar,Adult,Male
209,KEATING,Mr.,Philip,31,Engineering,Crew,British,Fireman,,,Adult,Male
210,KEEGAN,Mr.,John Ernest,,Engineering,Crew,British,Trimmer,,,Adult,Male
211,KEHOE,Mr.,Denis,,Engineering,Crew,British,Trimmer,,,Adult,Male
212,KELLY,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
213,KELLY,Mr.,Sidney Crawford,,Engineering,Crew,British,Intermediate 5th Engineer,,,Adult,Male
214,KELLY,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
215,KENNEDY,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
216,KENNEDY,Mr.,John James,,Engineering,Crew,British,Trimmer,,,Adult,Male
217,KENNY,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
218,KEOGH     ,Mr.,P.                        ,,Engineering,Crew,British,Fireman,,,Adult,Male
219,KING,Mr.,Michael,,Engineering,Crew,British,Trimmer,,,Adult,Male
220,LAFFEY,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
221,LARKIN,Mr.,James J.,,Engineering,Crew,British,Greaser,,,Adult,Male
222,LATHAM,Mr.,George,,Engineering,Crew,British,Second Electrician,,,Adult,Male
223,LAWRENCE,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
224,LAWSON,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
225,LAWTON,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
226,LEA,Mr.,James,,Engineering,Crew,British,Senior 7th Engineer,,,Adult,Male
227,LEATHERS,Mr.,Samuel,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
228,LEE,Mr.,Daniel,50,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
229,LEE,Mr.,William,,Engineering,Crew,British,Trimmer,,,Adult,Male
230,LEECH,Mr.,T.,,Engineering,Crew,British,First Junior 3rd Engineer,,,Adult,Male
231,LEMON,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
232,LEWIS,Mr.,F.,,Engineering,Crew,British,Fireman,,,Adult,Male
233,LEWIS,Mr.,Joseph,,Engineering,Crew,British,Trimmer,,,Adult,Male
234,LINTON,Mr.,Isaac,48,Engineering,Crew,British,Fireman,,,Adult,Male
235,LITTLE,Mr.,George,,Engineering,Crew,British,Second Senior 3rd Engineer,,,Adult,Male
236,LOCKHART,Mr.,Peter,,Engineering,Crew,British,Fireman,,,Adult,Male
237,LOUGHRAN,Mr.,Patrick,19,Engineering,Crew,British,Trimmer,,Newry,Adult,Male
238,LYONS,Mr.,Archibald,,Engineering,Crew,British,Trimmer,,,Adult,Male
239,MADDEN,Mr.,John,43,Engineering,Crew,British,Fireman,,,Adult,Male
240,MADDEN,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
241,MALFIAT,Mr.,Shef,,Engineering,Crew,Belgian,Trimmer,,,Adult,Male
242,MALLIN,Mr.,William,,Engineering,Crew,British,Fireman,,,Adult,Male
243,MANAN,Mr., Andrew,,Engineering,Crew,British,Trimmer,,,Adult,Male
244,MANNING,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
245,MANNING,Mr.,Peter,,Engineering,Crew,British,Fireman,,,Adult,Male
246,MARKEY,Mr.,Patrick,30,Engineering,Crew,British,Trimmer,,Dundalk,Adult,Male
247,MARRION,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
248,MARTIN,Mr.,Albert,,Engineering,Crew,British,Leading Fireman,,,Adult,Male
249,McADAM,Mr.,Michael,,Engineering,Crew,British,Fireman,,,Adult,Male
250,McALEAVEY,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
251,McALEER,Mr.,James,,Engineering,Crew,British,Trimmer,,,Adult,Male
252,McATEER,Mr.,Francis,,Engineering,Crew,British,Fireman,,Warrenpoint,Adult,Male
253,McBRIDE,Mr.,Peter,52,Engineering,Crew,British,Trimmer,,Ravensdale,Adult,Male
254,McCABE,Mr.,Andrew,,Engineering,Crew,British,Fireman,,,Adult,Male
255,McCABE,Mr.,John Alexander,,Engineering,Crew,British,Trimmer,,,Adult,Male
256,McCABE,Mr.,Richard,,Engineering,Crew,British,Fireman,,,Adult,Male
257,McCANN,Mr.,Thomas Michael,22,Engineering,Crew,British,Fireman,,,Adult,Male
258,McCANN,Mr.,Owen,30,Engineering,Crew,British,Trimmer,,Carlingford,Adult,Male
259,McCARTHY,Mr.,Patrick,,Engineering,Crew,British,Greaser,,,Adult,Male
260,McCARTHY,Mr.,Bartholomew,,Engineering,Crew,British,Fireman,,,Adult,Male
261,McCLEAN,Mr.,Robert,,Engineering,Crew,British,Plumber,,,Adult,Male
262,McCORMICK,Mr.,James,44,Engineering,Crew,British,Fireman,,,Adult,Male
263,McCUTCHEON,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
264,McDERMOTT,Mr.,Eugene,,Engineering,Crew,British,Trimmer (promoted to Fireman),,,Adult,Male
265,McDERMOTT,Mr.,Thomas,,Engineering,Crew,British,Fireman,,,Adult,Male
266,McDONALD,Mr.,James,,Engineering,Crew,British,Trimmer,,,Adult,Male
267,McDONALD,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
268,McEVOY,Mr.,John,,Engineering,Crew,British,Refrigeration Greaser,,Jonesborough,Adult,Male
269,McGEOUGH,Mr.,Michael,30,Engineering,Crew,British,Fireman,,Dundalk,Adult,Male
270,McGINTY,Mr.,Thomas,,Engineering,Crew,British,Trimmer,,,Adult,Male
271,McGOWAN,Mr.,Joseph,,Engineering,Crew,British,Fireman,,,Adult,Male
272,McGUGAN,Mr.,Donald,,Engineering,Crew,British,Trimmer,,,Adult,Male
273,McGUGAN,Mr.,Walter,,Engineering,Crew,British,Trimmer,,,Adult,Male
274,McGUINESS,Mr.,Bernard,,Engineering,Crew,British,Trimmer,,,Adult,Male
275,McKENNA,Mr.,Bernard,29,Engineering,Crew,British,Trimmer,,Castlebellingham,Adult,Male
276,McKENNA,Mr.,Frank,,Engineering,Crew,British,Trimmer,,,Adult,Male
277,McKENNA,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
278,McKENNA,Mr.,Patrick,,Engineering,Crew,British,Fireman,,,Adult,Male
279,McKINDREY,Mr.,Andrew,,Engineering,Crew,British,Trimmer,,Newry,Adult,Male
280,McLOUGHLIN,Mr.,John,,Engineering,Crew,British,Greaser,,,Adult,Male
281,McMAHON,Mr.,Patrick,37,Engineering,Crew,British,Fireman,,,Adult,Male
282,McMAHON,Mr.,P.,,Engineering,Crew,British,Fireman,,,Adult,Male
283,McNULTY,Mr.,Peter,30,Engineering,Crew,British,Trimmer,,Liverpool,Adult,Male
284,McPARLAND,Mr.,Terence,26,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
285,McSTAY,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
286,MELIA,Mr.,Patrick,50,Engineering,Crew,British,Greaser,,,Adult,Male
287,MITCHELL,Mr.,John,,Engineering,Crew,British,Fireman,,,Adult,Male
288,MOLDEN,Mr.,James,,Engineering,Crew,British,Fireman,,,Adult,Male
289,MORAN,Mr.,Patrick,,Engineering,Crew,British,Fireman,,Erren,Adult,Male
290,MORAN,Mr., James,,Engineering,Crew,British,Greaser,,Erren,Adult,Male
291,MORRICE,Mr.,David,,Engineering,Crew,British,Junior 6th Engineer,,,Adult,Male
292,MORRIS,Mr.,John,,Engineering,Crew,British,Trimmer,,,Adult,Male
293,MURPHY,Mr.,Dennis,23,Engineering,Crew,British,Fireman,,,Adult,Male
294,MURPHY,Mr.,Matthew,58,Engineering,Crew,British,Fireman,,Liverpool,Adult,Male
295,MURPHY,Mr.,James,,Engineering,Crew,British,Fireman,,Swords,Adult,Male
296,MYLASKA,Mr.,C.,,Engineering,Crew,British,Fireman,,,Adult,Male
297,MYLES,Mr.,Peter,17,Engineering,Crew,British,Trimmer,,,Minor,Male
298,NEEDHAM,Mr.,Patrick,47,Engineering,Crew,British,Leading Fireman,,,Adult,Male
